learning_path,module,unit,source_url,markdown_path,metadata_path,raw_html_path
AI concepts for developers and technology professionals,Introduction to AI concepts,Introduction to AI,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/1-introduction/,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/01_1-introduction.md,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/01_1-introduction.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/raw/01_1-introduction.html
AI concepts for developers and technology professionals,Introduction to AI concepts,Generative AI and agents,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/2-generative-ai/,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/02_2-generative-ai.md,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/02_2-generative-ai.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/raw/02_2-generative-ai.html
AI concepts for developers and technology professionals,Introduction to AI concepts,Text and natural language,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/5-natural-language-processing/,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/03_5-natural-language-processing.md,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/03_5-natural-language-processing.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/raw/03_5-natural-language-processing.html
AI concepts for developers and technology professionals,Introduction to AI concepts,Speech,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/4-speech/,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/04_4-speech.md,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/04_4-speech.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/raw/04_4-speech.html
AI concepts for developers and technology professionals,Introduction to AI concepts,Computer vision,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/3-computer-vision/,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/05_3-computer-vision.md,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/05_3-computer-vision.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/raw/05_3-computer-vision.html
AI concepts for developers and technology professionals,Introduction to AI concepts,Information extraction,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/6-extract-insights/,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/06_6-extract-insights.md,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/06_6-extract-insights.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/raw/06_6-extract-insights.html
AI concepts for developers and technology professionals,Introduction to AI concepts,Responsible AI,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/7-responsible-ai/,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/07_7-responsible-ai.md,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/07_7-responsible-ai.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/raw/07_7-responsible-ai.html
AI concepts for developers and technology professionals,Introduction to AI concepts,Exercise - Explore AI workloads,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/7b-exercise/,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/08_7b-exercise.md,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/08_7b-exercise.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/raw/08_7b-exercise.html
AI concepts for developers and technology professionals,Introduction to AI concepts,Module assessment,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/8-knowledge-check/,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/09_8-knowledge-check.md,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/09_8-knowledge-check.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/raw/09_8-knowledge-check.html
AI concepts for developers and technology professionals,Introduction to AI concepts,Summary,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/9-summary/,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/10_9-summary.md,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/10_9-summary.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/01_introduction-to-ai-concepts/raw/10_9-summary.html
AI concepts for developers and technology professionals,Introduction to generative AI and agents,Introduction,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/1-introduction/,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/01_1-introduction.md,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/01_1-introduction.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/raw/01_1-introduction.html
AI concepts for developers and technology professionals,Introduction to generative AI and agents,Large language models (LLMs),https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/3-language-models/,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/02_3-language-models.md,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/02_3-language-models.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/raw/02_3-language-models.html
AI concepts for developers and technology professionals,Introduction to generative AI and agents,Prompts,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/6-writing-prompts/,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/03_6-writing-prompts.md,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/03_6-writing-prompts.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/raw/03_6-writing-prompts.html
AI concepts for developers and technology professionals,Introduction to generative AI and agents,AI agents,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/7-agents/,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/04_7-agents.md,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/04_7-agents.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/raw/04_7-agents.html
AI concepts for developers and technology professionals,Introduction to generative AI and agents,Exercise - Explore generative AI,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/7a-exercise/,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/05_7a-exercise.md,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/05_7a-exercise.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/raw/05_7a-exercise.html
AI concepts for developers and technology professionals,Introduction to generative AI and agents,Module assessment,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/8-knowledge-check/,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/06_8-knowledge-check.md,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/06_8-knowledge-check.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/raw/06_8-knowledge-check.html
AI concepts for developers and technology professionals,Introduction to generative AI and agents,Summary,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/9-summary/,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/07_9-summary.md,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/07_9-summary.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/02_introduction-to-generative-ai-and-agents/raw/07_9-summary.html
AI concepts for developers and technology professionals,Introduction to natural language processing concepts,Introduction,https://learn.microsoft.com/en-us/training/modules/introduction-language/1-introduction/,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/01_1-introduction.md,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/01_1-introduction.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/raw/01_1-introduction.html
AI concepts for developers and technology professionals,Introduction to natural language processing concepts,Tokenization,https://learn.microsoft.com/en-us/training/modules/introduction-language/2-how-it-works/,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/02_2-how-it-works.md,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/02_2-how-it-works.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/raw/02_2-how-it-works.html
AI concepts for developers and technology professionals,Introduction to natural language processing concepts,Statistical text analysis.,https://learn.microsoft.com/en-us/training/modules/introduction-language/3-statistical-techniques/,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/03_3-statistical-techniques.md,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/03_3-statistical-techniques.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/raw/03_3-statistical-techniques.html
AI concepts for developers and technology professionals,Introduction to natural language processing concepts,Semantic language models,https://learn.microsoft.com/en-us/training/modules/introduction-language/4-semantic-models/,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/04_4-semantic-models.md,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/04_4-semantic-models.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/raw/04_4-semantic-models.html
AI concepts for developers and technology professionals,Introduction to natural language processing concepts,Exercise - Explore text analytics,https://learn.microsoft.com/en-us/training/modules/introduction-language/4b-exercise/,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/05_4b-exercise.md,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/05_4b-exercise.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/raw/05_4b-exercise.html
AI concepts for developers and technology professionals,Introduction to natural language processing concepts,Module assessment,https://learn.microsoft.com/en-us/training/modules/introduction-language/5-knowledge-check/,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/06_5-knowledge-check.md,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/06_5-knowledge-check.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/raw/06_5-knowledge-check.html
AI concepts for developers and technology professionals,Introduction to natural language processing concepts,Summary,https://learn.microsoft.com/en-us/training/modules/introduction-language/6-summary/,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/07_6-summary.md,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/07_6-summary.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/03_introduction-to-natural-language-processing-concepts/raw/07_6-summary.html
AI concepts for developers and technology professionals,Introduction to AI speech concepts,Introduction,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/1-introduction/,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/01_1-introduction.md,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/01_1-introduction.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/raw/01_1-introduction.html
AI concepts for developers and technology professionals,Introduction to AI speech concepts,Speech-enabled solutions,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/2-speech-solutions/,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/02_2-speech-solutions.md,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/02_2-speech-solutions.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/raw/02_2-speech-solutions.html
AI concepts for developers and technology professionals,Introduction to AI speech concepts,Speech recognition,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/3-speech-recognition/,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/03_3-speech-recognition.md,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/03_3-speech-recognition.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/raw/03_3-speech-recognition.html
AI concepts for developers and technology professionals,Introduction to AI speech concepts,Speech synthesis,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/4-speech-synthesis/,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/04_4-speech-synthesis.md,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/04_4-speech-synthesis.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/raw/04_4-speech-synthesis.html
AI concepts for developers and technology professionals,Introduction to AI speech concepts,Exercise - Explore AI speech,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/5-exercise-speech/,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/05_5-exercise-speech.md,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/05_5-exercise-speech.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/raw/05_5-exercise-speech.html
AI concepts for developers and technology professionals,Introduction to AI speech concepts,Module assessment,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/6-knowledge-check/,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/06_6-knowledge-check.md,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/06_6-knowledge-check.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/raw/06_6-knowledge-check.html
AI concepts for developers and technology professionals,Introduction to AI speech concepts,Summary,https://learn.microsoft.com/en-us/training/modules/introduction-ai-speech/7-summary/,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/07_7-summary.md,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/07_7-summary.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/04_introduction-to-ai-speech-concepts/raw/07_7-summary.html
AI concepts for developers and technology professionals,Introduction to computer vision concepts,Introduction,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/1-introduction/,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/01_1-introduction.md,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/01_1-introduction.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/raw/01_1-introduction.html
AI concepts for developers and technology professionals,Introduction to computer vision concepts,Computer vision tasks and techniques,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/2-overview/,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/02_2-overview.md,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/02_2-overview.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/raw/02_2-overview.html
AI concepts for developers and technology professionals,Introduction to computer vision concepts,Images and image processing,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/3-understand-image-processing/,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/03_3-understand-image-processing.md,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/03_3-understand-image-processing.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/raw/03_3-understand-image-processing.html
AI concepts for developers and technology professionals,Introduction to computer vision concepts,Convolutional neural networks,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/4-computer-vision-models/,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/04_4-computer-vision-models.md,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/04_4-computer-vision-models.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/raw/04_4-computer-vision-models.html
AI concepts for developers and technology professionals,Introduction to computer vision concepts,Vision transformers and multimodal models,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/5-modern-vision-models/,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/05_5-modern-vision-models.md,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/05_5-modern-vision-models.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/raw/05_5-modern-vision-models.html
AI concepts for developers and technology professionals,Introduction to computer vision concepts,Image generation,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/5a-generate-images/,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/06_5a-generate-images.md,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/06_5a-generate-images.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/raw/06_5a-generate-images.html
AI concepts for developers and technology professionals,Introduction to computer vision concepts,Exercise - Explore computer vision,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/5b-exercise/,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/07_5b-exercise.md,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/07_5b-exercise.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/raw/07_5b-exercise.html
AI concepts for developers and technology professionals,Introduction to computer vision concepts,Module assessment,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/6-knowledge-check/,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/08_6-knowledge-check.md,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/08_6-knowledge-check.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/raw/08_6-knowledge-check.html
AI concepts for developers and technology professionals,Introduction to computer vision concepts,Summary,https://learn.microsoft.com/en-us/training/modules/introduction-computer-vision/7-summary/,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/09_7-summary.md,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/09_7-summary.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/05_introduction-to-computer-vision-concepts/raw/09_7-summary.html
AI concepts for developers and technology professionals,Introduction to AI-powered information extraction concepts,Introduction,https://learn.microsoft.com/en-us/training/modules/introduction-information-extraction/1-introduction/,01_ai-concepts-for-developers-and-technology-professionals/06_introduction-to-ai-powered-information-extraction-concepts/01_1-introduction.md,01_ai-concepts-for-developers-and-technology-professionals/06_introduction-to-ai-powered-information-extraction-concepts/01_1-introduction.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/06_introduction-to-ai-powered-information-extraction-concepts/raw/01_1-introduction.html
AI concepts for developers and technology professionals,Introduction to AI-powered information extraction concepts,Overview of information extraction,https://learn.microsoft.com/en-us/training/modules/introduction-information-extraction/2-overview/,01_ai-concepts-for-developers-and-technology-professionals/06_introduction-to-ai-powered-information-extraction-concepts/02_2-overview.md,01_ai-concepts-for-developers-and-technology-professionals/06_introduction-to-ai-powered-information-extraction-concepts/02_2-overview.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/06_introduction-to-ai-powered-information-extraction-concepts/raw/02_2-overview.html
AI concepts for developers and technology professionals,Introduction to AI-powered information extraction concepts,Optical character recognition (OCR),https://learn.microsoft.com/en-us/training/modules/introduction-information-extraction/3-vision-extraction/,01_ai-concepts-for-developers-and-technology-professionals/06_introduction-to-ai-powered-information-extraction-concepts/03_3-vision-extraction.md,01_ai-concepts-for-developers-and-technology-professionals/06_introduction-to-ai-powered-information-extraction-concepts/03_3-vision-extraction.metadata.json,01_ai-concepts-for-developers-and-technology-professionals/06_introduction-to-ai-powered-information-extraction-concepts/raw/03_3-vision-extraction.html
